columnname,min,max,mean,standard deviation,value counts,comment
is_fake_news_1,-,-,-,-,'0‘ : 8264; '1‘ : 404; 'UNKNOWN’ : 333,
is_fake_news_2,-,-,-,-,'0‘ : 6897; '1‘: 1729; 'UNKNOWN’ : 375 ,
fake_news_1 = fake_news_2,-,-,-,-,'True’ :  6646;  'False’ : 2355,"compares if is_fake_news_1 and is_fake_news_2 are equal for each row. True if they are, false if they are not equal"
fake_news_category_1,-,-,-,-,'0‘: 7555; '1‘: 131; '2‘: 12; '3‘: 69; '4‘: 105; '5‘: 87; '-1‘: 1042 ,
fake_news_category_2,-,-,-,-,'0‘: 6230; '1‘: 494; '2‘: 72; '3‘: 445; '4‘: 363; '5‘: 355; '-1‘: 1042 ,
fake_news_category_1 = fake_news_category_2,-,-,-,-,'True’ :  5657;  'False’ : 3344,
retweet_count,1001,99999,3311.77,5063.04,-,
text,0,29,15.75,5.32,-,"10 most frequent words: [ ‘the‘: 4166, ‘@realdonaldtrump‘: 3726, ‘to’: 3230, 'a': 2122, 'of': 1906, 'is': 1853, 'for': 1705, 'you': 1695, 'in': 1619, 'and': 1560]. Number of Mentions: 7672. Number of Links: 6430"
user_verified,-,-,-,-,'1‘: 5851; '0‘: 3150,
user_friends_count,0,1679113,7894.85,40675.54,-,
user_followers_count,1,95683674,2810594.99,8018741.51,-,
user_favourites_count,0,823356,13145.17,41077.99,-,
tweet_source,-,-,-,-,"'Twitter for iPhone': 3807,
'Twitter Web Client': 2839,
'Twitter for Android': 887,
'TweetDeck': 422,
'Twitter for iPad': 239,
'Media Studio': 184,
'Twitter Ads': 108,
'SocialFlow': 64,
'Buffer': 60,
'Hootsuite': 46,
'Mobile Web (M5)': 36,
'Twitter for Mac': 34,
'Sprout Social': 34,
'Sprinklr': 33,
'Tweetbot for iΟS': 29,
'SnappyTV.com': 24,
'Echofon': 18,
'BBC US Election Bot': 10,
'Twitter Business Experience': 9,
'SnapStream TV Search': 9,
'Periscope': 8,
'Instagram': 7,
'Tweetbot for Mac': 7,
'Twitter for Windows': 5,
'StopTrump': 5,
'placeholder twitter app': 4,
'Facebook': 4,
'OS X': 4,
'Mobile Web (M2)': 4,
'Twitter for BlackBerry': 4,
'pictoline-tenderloin': 4,
'TweetCaster for Android': 3,
'Falcon Social Media Management': 3,
'Tweet Jukebox': 2,
'xxxxxxxxdsf': 2,
'Austrian Painter': 2,
'Vine - Make a Scene': 2,
'GlobalBoost®': 2,
'iOS': 2,
'xxxxxxxxdsf6': 2,
'Tweetbot for iOS': 2,
'Twitter Dashboard for iPhone': 2,
'Twitter for BlackBerry®': 2,
'Twittelator': 2,
'Twitter Engage for iPhone': 2,
'Vine Camera': 1,
'Twitter for Windows Phone': 1,
'Vic Vine': 1,
'Business Insider': 1,
'erased12497847': 1,
'erased12872611': 1,
'Trending Topics US': 1,
'erased12902295': 1,
'Crowdbooster': 1,
'Percolate': 1,
'Tweetlogix': 1,
'erased12776580': 1,
'Impressiv': 1,
'Echobox Social': 1,
'Mobile Web': 1,
'CrowdControlHQ1': 1,
'HiIlYes': 1,
'IFTTT': 1,
'Talon (Plus)': 1,
'Radian6 -Social Media Management': 1,
'Twitter for Android Tablets': 1,
'erased13151878': 1,
'Plume for Android': 1
",
geo_coordinates_available,0,9,0.59,0.95,-,
num_hashtags,0,9,0.59,0.95,-,
num_mentions,1,11, 1.99,0.93,-,
num_urls,0,2,0.35,0.49,-,
num_media,0,2,0.20,0.40,-,
